Time Bucket (America/Costa_Rica),UTEM CIER DAVID-Mains_A (kWatts),UTEM CIER DAVID-Mains_B (kWatts),UTEM CIER DAVID-Mains_C (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 1 (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 2 (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna  (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L3 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L3 (kWatts),UTEM CIER DAVID-Solar/Generation-Inversor (kWatts),UTEM CIER DAVID-Room/Multi-use Circuit-Contactos David (kWatts),UTEM CIER DAVID-Lights-Alumbrado (kWatts),UTEM CIER DAVID-Lights-Alumbrado Fotovoltaico (kWatts),UTEM CIER DAVID-Other-Circuit_15 (kWatts),UTEM CIER DAVID-Other-Circuit_16 (kWatts),,
10/15/2024 10:07:00,0.96,-0.01,2.39,0.02,0.01,2.93,0.02,0.03,0.03,0.01,0.57,0.27,0.95,-1.11,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:08:00,0.98,0.01,2.38,0.02,0.01,2.92,0.02,0.03,0.03,0.01,0.55,0.26,0.95,-1.08,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:09:00,0.96,-0.01,2.39,0.02,0.01,2.93,0.02,0.03,0.03,0.01,0.57,0.27,0.95,-1.11,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:10:00,0.96,-0.01,2.39,0.02,0.01,2.93,0.02,0.03,0.03,0.01,0.57,0.27,0.95,-1.11,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:11:00,0.96,-0.01,2.39,0.02,0.01,2.92,0.02,0.03,0.03,0.01,0.57,0.28,0.95,-1.12,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:12:00,0.91,-0.06,2.39,0.02,0.01,2.92,0.02,0.03,0.03,0.01,0.62,0.32,0.95,-1.21,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:13:00,0.91,-0.06,2.38,0.02,0.01,2.92,0.02,0.03,0.03,0.01,0.62,0.33,0.95,-1.22,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:14:00,0.90,-0.07,2.38,0.02,0.01,2.92,0.02,0.03,0.03,0.01,0.62,0.33,0.94,-1.22,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:15:00,0.90,-0.07,2.38,0.02,0.01,2.92,0.02,0.03,0.03,0.01,0.62,0.33,0.94,-1.22,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:16:00,0.88,-0.10,2.39,0.02,0.01,2.93,0.02,0.03,0.03,0.01,0.66,0.36,0.95,-1.29,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:17:00,0.89,-0.08,2.39,0.02,0.01,2.94,0.02,0.03,0.03,0.01,0.65,0.35,0.95,-1.26,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:18:00,0.90,-0.09,2.40,0.02,0.01,2.96,0.02,0.03,0.03,0.01,0.65,0.35,0.95,-1.27,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:19:00,0.90,-0.09,2.40,0.02,0.01,2.96,0.02,0.03,0.03,0.01,0.65,0.35,0.95,-1.27,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:20:00,0.90,-0.09,2.40,0.02,0.01,2.96,0.02,0.03,0.03,0.01,0.65,0.35,0.95,-1.27,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:21:00,1.01,0.02,2.39,0.02,0.01,2.94,0.02,0.03,0.03,0.01,0.53,0.25,0.95,-1.05,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:22:00,1.09,0.10,2.40,0.02,0.01,2.96,0.02,0.03,0.03,0.01,0.45,0.23,0.94,-0.89,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:23:00,1.15,0.18,2.37,0.02,0.01,2.91,0.02,0.03,0.03,0.01,0.38,0.23,0.94,-0.74,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:24:00,1.18,0.20,2.37,0.02,0.01,2.92,0.02,0.03,0.03,0.01,0.35,0.23,0.94,-0.68,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:25:00,1.15,0.18,2.36,0.02,0.01,2.92,0.02,0.03,0.03,0.01,0.38,0.23,0.93,-0.74,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:26:00,1.16,0.18,2.37,0.02,0.01,2.94,0.02,0.03,0.03,0.01,0.38,0.23,0.93,-0.74,0.02,No CT,0.00,No CT,No CT,,
10/15/2024 10:27:00,1.65,0.32,2.64,0.54,0.57,2.96,0.02,0.03,0.03,0.01,0.52,0.33,0.92,-1.16,0.03,No CT,0.15,No CT,No CT,,
10/15/2024 10:28:00,2.48,0.67,3.03,1.28,1.35,3.00,0.02,0.03,0.03,0.01,0.58,0.45,0.90,-1.47,0.05,No CT,0.37,No CT,No CT,,
10/15/2024 10:29:00,2.48,0.67,3.03,1.28,1.35,3.00,0.02,0.03,0.03,0.01,0.58,0.45,0.90,-1.47,0.05,No CT,0.37,No CT,No CT,,
