Time Bucket (America/Costa_Rica),UTEM CIER DAVID-Mains_A (kWhs),UTEM CIER DAVID-Mains_B (kWhs),UTEM CIER DAVID-Mains_C (kWhs),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 1 (kWhs),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 2 (kWhs),UTEM CIER DAVID-Air Conditioner-AC Aula Magna  (kWhs),UTEM CIER DAVID-Air Conditioner-AC Aula Magna (kWhs),UTEM CIER DAVID-Sub Panel-Tab Secundario L1 (kWhs),UTEM CIER DAVID-Sub Panel-Tab Secundario L2 (kWhs),UTEM CIER DAVID-Sub Panel-Tab Secundario L3 (kWhs),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L1 (kWhs),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L2 (kWhs),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L3 (kWhs),UTEM CIER DAVID-Solar/Generation-Inversor (kWhs),UTEM CIER DAVID-Room/Multi-use Circuit-Contactos David (kWhs),UTEM CIER DAVID-Lights-Alumbrado (kWhs),UTEM CIER DAVID-Lights-Alumbrado Fotovoltaico (kWhs),UTEM CIER DAVID-Other-Circuit_15 (kWhs),UTEM CIER DAVID-Other-Circuit_16 (kWhs)
09/26/2024 00:00:00,37.9327,24.0124,26.8464,19.3569,20.1914,20.1045,21.9914,1.0384,0.6204,0.2046,8.5887,3.7008,0.2861,-0.0,1.0164,1.6143,5.4726,0,0
09/27/2024 00:00:00,2.7553,0.1481,0.613,0.4072,0.1988,0.3052,0.3559,1.0749,0.6367,0.2032,2.1873,0.0001,0.0738,-0.0,0.0,2.1809,0.0,0,0
09/28/2024 00:00:00,2.7609,0.145,0.6124,0.4079,0.2007,0.3069,0.3572,1.0457,0.6438,0.2044,2.2291,0.0001,0.0719,-0.0,0.0,2.2266,0.0,0,0
09/29/2024 00:00:00,2.7335,0.1457,0.6101,0.4103,0.2065,0.3089,0.3578,1.0704,0.6479,0.2052,2.1677,0.0001,0.0717,-0.0,0.0,2.166,0.0,0,0
09/30/2024 00:00:00,33.3183,22.902,25.3264,15.8137,16.6564,19.3112,23.0433,1.0195,0.6548,0.204,7.8568,3.7967,0.7561,-0.0,0.7374,2.0792,4.9351,0,0
10/01/2024 00:00:00,2.7181,0.1434,0.6097,0.4027,0.194,0.3037,0.3521,1.06,0.6336,0.2019,2.163,0.0001,0.067,-0.0,0.0,2.1623,0.0,0,0
10/02/2024 00:00:00,34.8858,27.6346,23.7044,20.7152,21.7974,9.8543,26.262,1.0314,0.6871,0.2041,9.155,4.4622,0.1383,-0.0025,0.8299,1.6234,6.1822,0,0
10/03/2024 00:00:00,35.1716,22.9884,26.0582,17.0864,17.8213,20.0773,21.8201,1.0202,0.6155,0.2524,8.1795,3.831,0.8113,-0.0,0.9577,1.1516,5.1478,0,0
10/04/2024 00:00:00,46.6637,33.5691,38.7097,21.1164,22.1368,32.4499,39.1444,1.0535,0.6098,0.2023,9.519,3.7462,0.2476,-0.0,1.0486,0.0113,6.3837,0,0
10/05/2024 00:00:00,2.9615,0.1468,0.6223,0.4086,0.1929,0.3027,0.3538,1.0604,0.6337,0.2033,2.5351,0.0039,0.1886,-0.0,0.5051,0.8477,0.0,0,0
10/06/2024 00:00:00,3.4698,0.706,0.6455,0.4106,0.194,0.3032,0.355,1.1135,0.6392,0.2038,2.8621,0.0041,0.4082,-0.0,0.5118,2.1032,0.0,0,0
10/07/2024 00:00:00,28.4405,15.8763,14.5719,17.443,18.2865,5.7357,7.0335,1.0786,0.6948,0.2517,8.492,3.7856,0.7902,-0.0,0.6975,1.9113,5.6069,0,0
10/08/2024 00:00:00,31.0082,16.0683,16.5822,18.6614,19.75,7.0981,8.5888,1.0827,0.6535,0.2708,8.6111,2.85,0.9654,-0.0,0.6224,1.186,5.7828,0,0
10/09/2024 00:00:00,36.0058,18.9819,26.9021,11.6298,22.1309,21.3415,17.6933,1.0731,0.6564,0.2172,9.3606,4.6517,0.3363,-0.0,0.8351,0.0347,6.4174,0,0
10/10/2024 00:00:00,40.2825,24.7654,27.3009,22.1754,23.1947,18.4122,15.9287,1.0658,0.6511,0.3122,9.0492,6.1398,2.3134,-0.0,1.0205,0.0603,5.9174,0,0
10/11/2024 00:00:00,45.4593,19.6737,27.4251,24.5938,25.6499,22.5702,11.8955,1.0417,0.6309,0.2272,9.8692,3.5326,0.2433,-3.3146,0.7699,0.9535,7.8863,0,0
10/12/2024 00:00:00,-3.2167,-6.3053,0.5853,0.4082,0.2013,0.3031,0.3553,1.2485,0.8365,0.4972,9.0479,6.9609,0.1958,-13.7828,0.0,0.7242,0.0,0,0
10/13/2024 00:00:00,-3.2994,-6.3722,0.587,0.6753,0.5028,0.301,0.3536,1.1257,0.6351,0.2019,8.8523,7.0282,0.1939,-13.9129,0.0,1.8505,0.0,0,0
10/14/2024 00:00:00,36.8578,22.7968,31.4593,18.5946,19.4209,25.0713,23.9871,1.0606,0.9779,0.447,10.9668,5.7235,2.6859,-6.1045,0.5183,1.0264,5.5201,0,0
10/15/2024 00:00:00,39.8236,24.11,34.3264,20.0262,20.9738,28.3409,21.8159,1.0189,0.717,0.2192,8.8287,5.6344,3.7764,-6.8134,0.8443,0.0591,5.8919,0,0
10/16/2024 00:00:00,43.2546,18.1009,25.3309,22.7265,23.8345,24.4436,5.6932,1.0193,0.7319,0.2215,9.0316,4.5842,0.2684,-0.1547,0.7836,0.1665,6.1906,0,0
10/17/2024 00:00:00,18.7186,8.9398,10.9412,8.8715,9.1156,8.7631,3.6666,0.8453,0.5152,0.1575,5.4971,2.8586,1.1766,-0.0,0.5866,0.0271,2.7547,0,0
10/18/2024 00:00:00,37.215,17.0629,23.5672,23.8208,25.0762,15.1326,12.6697,1.0278,0.7462,0.2295,10.9774,7.2386,0.304,-11.5793,0.6787,0.0271,8.2763,0,0
10/19/2024 00:00:00,-8.4639,-11.2406,0.5643,0.4075,0.2,0.308,0.3541,1.0749,0.7029,0.1995,13.8772,11.9835,0.0401,-23.7351,0.0,0.0271,0.0,0,0
10/20/2024 00:00:00,0.8024,0.0769,0.0969,0.0657,0.029,0.0479,0.0564,0.2203,0.1122,0.0323,0.6642,0.0991,0.0065,-0.1258,0.0,0.0271,0.0,0,0
10/21/2024 00:00:00,28.8474,20.3345,33.571,16.029,16.6896,25.7037,31.4628,0.9748,0.6457,0.2031,11.742,8.9544,3.7024,-17.7137,0.5948,1.0393,5.407,0,0
10/22/2024 00:00:00,0.0237,-1.3772,0.2533,0.1722,0.076,0.1254,0.1496,0.4512,0.2923,0.085,2.7482,1.7422,0.0744,-3.3933,0.0,0.0001,0.0,0,0
