Time Bucket (America/Costa_Rica),UTEM CIER DAVID-Mains_A (kWhs),UTEM CIER DAVID-Mains_B (kWhs),UTEM CIER DAVID-Mains_C (kWhs),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 1 (kWhs),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 2 (kWhs),UTEM CIER DAVID-Air Conditioner-AC Aula Magna  (kWhs),UTEM CIER DAVID-Air Conditioner-AC Aula Magna (kWhs),UTEM CIER DAVID-Sub Panel-Tab Secundario L1 (kWhs),UTEM CIER DAVID-Sub Panel-Tab Secundario L2 (kWhs),UTEM CIER DAVID-Sub Panel-Tab Secundario L3 (kWhs),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L1 (kWhs),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L2 (kWhs),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L3 (kWhs),UTEM CIER DAVID-Solar/Generation-Inversor (kWhs),UTEM CIER DAVID-Room/Multi-use Circuit-Contactos David (kWhs),UTEM CIER DAVID-Lights-Alumbrado (kWhs),UTEM CIER DAVID-Lights-Alumbrado Fotovoltaico (kWhs),UTEM CIER DAVID-Other-Circuit_15 (kWhs),UTEM CIER DAVID-Other-Circuit_16 (kWhs)
09/26/2024 00:00:00,0.2273,0.0057,0.0259,0.0171,0.008,0.0126,0.0145,0.0577,0.0263,0.0085,0.1901,0.0,0.0041,-0.0,0.0184,0.1733,0.0,0,0
09/26/2024 01:00:00,0.2278,0.0056,0.0259,0.0172,0.0082,0.0126,0.0147,0.0581,0.0265,0.0085,0.1904,0.0,0.004,-0.0,0.0186,0.1749,0.0,0,0
09/26/2024 02:00:00,0.2279,0.0057,0.0259,0.0173,0.0083,0.0127,0.0147,0.0584,0.0267,0.0086,0.1903,0.0,0.004,-0.0,0.0188,0.1737,0.0,0,0
09/26/2024 03:00:00,0.2284,0.0058,0.0259,0.0174,0.0083,0.0128,0.0148,0.0585,0.0268,0.0086,0.1907,0.0,0.004,-0.0,0.0189,0.1757,0.0,0,0
09/26/2024 04:00:00,0.2287,0.0059,0.0259,0.0174,0.0084,0.0128,0.0149,0.059,0.0269,0.0086,0.1906,0.0,0.004,-0.0,0.019,0.1743,0.0,0,0
09/26/2024 05:00:00,0.2172,0.0059,0.026,0.0174,0.0085,0.0128,0.015,0.0486,0.027,0.0087,0.1908,0.0,0.0043,-0.0,0.0191,0.1758,0.0,0,0
09/26/2024 06:00:00,0.1547,0.0059,0.026,0.0173,0.0086,0.0129,0.0151,0.0325,0.027,0.0087,0.1482,0.0,0.0044,-0.0,0.0189,0.1317,0.0,0,0
09/26/2024 07:00:00,1.0403,1.2408,1.7707,0.0167,0.0077,2.0675,2.4719,0.0323,0.0269,0.0085,0.0189,0.0,0.0048,-0.0,0.0184,0.0000,0.0,0,0
09/26/2024 08:00:00,1.2906,1.5416,2.2158,0.0149,0.0063,2.5729,3.0705,0.029,0.0242,0.0076,0.0166,0.0,0.0218,-0.0,0.0161,0.0003,0.0,0,0
09/26/2024 09:00:00,1.3743,1.6467,2.4429,0.0153,0.0068,2.7446,3.2793,0.03,0.0251,0.0079,0.017,0.0,0.0769,-0.0,0.0163,0.0000,0.0,0,0
