Tiempo de Inicio,Tiempo de Fin,Duración,Valor Inicial,Valor Final
2024-09-26 00:15:00,2024-09-26 10:15:00,10:00:00,0.0079,0.0075
2024-09-26 11:30:00,2024-09-26 11:30:00,00:00:00,2.6352,2.6352
2024-09-26 15:00:00,2024-09-26 15:45:00,00:45:00,0.0071,0.0087
2024-09-26 18:00:00,2024-09-26 18:15:00,00:15:00,2.5914,2.5884
2024-09-26 19:15:00,2024-09-26 19:15:00,00:00:00,2.5638,2.5638
2024-09-26 20:15:00,2024-09-30 13:00:00,16:45:00,0.0079,0.0085
2024-09-30 14:15:00,2024-09-30 14:15:00,00:00:00,2.8425,2.8425
2024-09-30 14:45:00,2024-09-30 14:45:00,00:00:00,2.7991,2.7991
2024-09-30 18:15:00,2024-09-30 18:15:00,00:00:00,2.4215,2.4215
2024-09-30 18:45:00,2024-09-30 18:45:00,00:00:00,2.4693,2.4693
2024-09-30 20:15:00,2024-10-02 10:00:00,13:45:00,0.0078,0.0035
2024-10-02 11:00:00,2024-10-02 11:00:00,00:00:00,2.755,2.755
2024-10-02 12:15:00,2024-10-02 12:30:00,00:15:00,2.8236,2.8308
2024-10-02 15:00:00,2024-10-02 15:00:00,00:00:00,2.7886,2.7886
2024-10-02 15:30:00,2024-10-02 15:45:00,00:15:00,2.8189,2.8098
2024-10-02 17:00:00,2024-10-02 17:00:00,00:00:00,2.7422,2.7422
2024-10-02 18:45:00,2024-10-03 10:15:00,15:30:00,0.0079,0.006
2024-10-03 11:15:00,2024-10-03 11:15:00,00:00:00,2.6964,2.6964
2024-10-03 12:45:00,2024-10-03 12:45:00,00:00:00,2.6226,2.6226
2024-10-03 14:30:00,2024-10-03 15:45:00,01:15:00,0.008,0.008
2024-10-03 20:15:00,2024-10-04 10:45:00,14:30:00,0.0074,0.007
2024-10-04 11:30:00,2024-10-04 11:45:00,00:15:00,2.8117,2.813
2024-10-04 12:15:00,2024-10-04 13:30:00,01:15:00,2.803,2.8136
2024-10-04 14:30:00,2024-10-04 14:45:00,00:15:00,2.7969,2.7949
2024-10-04 15:45:00,2024-10-04 16:15:00,00:30:00,0.9352,0.9352
2024-10-04 17:15:00,2024-10-04 17:30:00,00:15:00,2.7367,2.7322
2024-10-04 19:30:00,2024-10-04 19:30:00,00:00:00,2.553,2.553
2024-10-04 20:30:00,2024-10-07 12:00:00,15:30:00,0.008,0.0084
2024-10-07 12:45:00,2024-10-07 13:15:00,00:30:00,2.5407,2.5514
2024-10-07 14:00:00,2024-10-07 14:15:00,00:15:00,2.5147,2.5119
2024-10-07 14:45:00,2024-10-07 14:45:00,00:00:00,2.5346,2.5346
2024-10-07 15:30:00,2024-10-07 16:30:00,01:00:00,2.5161,2.5215
2024-10-07 17:00:00,2024-10-07 17:30:00,00:30:00,2.5357,2.5219
2024-10-07 18:45:00,2024-10-07 19:15:00,00:30:00,2.457,2.4475
2024-10-07 20:00:00,2024-10-08 10:15:00,14:15:00,0.008,0.0084
2024-10-08 13:30:00,2024-10-08 14:00:00,00:30:00,2.6825,2.6808
