fecha,valor_corriente
2024-08-16_08-29-04,9.772156715
2024-08-16_08-29-06,9.765462875
2024-08-16_08-29-08,9.774895668
2024-08-16_08-29-10,9.709942818
2024-08-16_08-29-15,9.69866848
2024-08-16_08-29-17,9.699140549
2024-08-16_08-29-19,9.650068283
2024-08-16_08-29-21,9.634264946
2024-08-16_08-29-26,9.625642776
2024-08-16_08-29-28,9.63237381
2024-08-16_08-29-30,9.590130806
2024-08-16_08-29-32,9.566090584
2024-08-16_08-29-37,9.579548836
2024-08-16_08-29-39,9.571074486
2024-08-16_08-29-41,9.526185036
2024-08-16_08-29-43,9.507781982
2024-08-16_08-29-48,9.520499229
2024-08-16_08-29-50,5.951421261
2024-08-16_08-29-52,5.88E-39
2024-08-16_08-29-54,5.88E-39
2024-08-16_08-29-59,0.223838151
