fecha,valor_corriente
2024-09-11_10-56-0,0.069957495
2024-09-11_10-56-1,8.032371521
2024-09-11_10-56-2,8.285311699
2024-09-11_10-56-3,10.29283333
2024-09-11_10-56-4,10.23607826
2024-09-11_10-56-5,10.05767536
2024-09-11_10-56-6,10.03066158
2024-09-11_10-56-7,9.943757057
2024-09-11_10-56-8,9.962777138
2024-09-11_10-56-9,9.970863342
2024-09-11_10-56-10,9.967292786
2024-09-11_10-56-11,9.970085144
2024-09-11_10-56-12,9.961953163
2024-09-11_10-56-13,9.943647385
2024-09-11_10-56-14,9.95083046
2024-09-11_10-56-15,9.926809311
2024-09-11_10-56-16,9.938423157
2024-09-11_10-56-17,9.946174622
2024-09-11_10-56-18,9.952377319
2024-09-11_10-57-17,9.950942039
2024-09-11_10-57-18,9.945801735
2024-09-11_10-57-19,10.00578499
2024-09-11_10-57-20,10.15199757
2024-09-11_10-57-21,10.17564011
2024-09-11_10-57-22,10.17564011
2024-09-11_10-57-23,10.18509483
2024-09-11_10-57-24,10.17667961
2024-09-11_10-57-25,10.16125393
2024-09-11_10-57-26,10.16125393
2024-09-11_10-57-27,10.14305115
2024-09-11_10-57-28,10.12212944
2024-09-11_10-57-29,10.09906578
2024-09-11_10-57-30,10.07059383
2024-09-11_10-57-31,10.07059383
2024-09-11_10-57-32,10.0904026
2024-09-11_10-57-33,10.10691071
2024-09-11_10-57-34,10.09780502
2024-09-11_10-57-35,10.0907383
2024-09-11_10-57-36,10.0907383
2024-09-11_10-57-37,10.07437134
2024-09-11_10-57-38,10.06143761
2024-09-11_10-57-39,10.02935696
2024-09-11_10-57-40,10.02935696
2024-09-11_10-57-41,10.01905918
2024-09-11_10-57-42,10.02516651
2024-09-11_10-57-43,10.03425407
2024-09-11_10-57-44,10.02138519
2024-09-11_10-57-45,10.02138519
2024-09-11_10-57-46,10.02391243
2024-09-11_10-57-47,10.01691914
2024-09-11_10-57-48,9.993127823
2024-09-11_10-57-49,9.993127823
