Time Bucket (America/Costa_Rica),UTeM CIER Sala Mestros-Mains_A (kWhs),UTeM CIER Sala Mestros-Mains_B (kWhs),UTeM CIER Sala Mestros-Mains_C (kWhs),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Maestros 1 (kWhs),UTeM CIER Sala Mestros-Air Conditioner-AC Direccion 1 (kWhs),UTeM CIER Sala Mestros-Air Conditioner-AC Rack (kWhs),UTeM CIER Sala Mestros-Air Conditioner-AC Aula Medios (kWhs),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L1 (kWhs),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L2 (kWhs),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L3 (kWhs),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Maestros 2 (kWhs),UTeM CIER Sala Mestros-Air Conditioner-AC Direccion 2 (kWhs),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Juntas (kWhs),UTeM CIER Sala Mestros-Air Conditioner-AC Cubiculos (kWhs),UTeM CIER Sala Mestros-Other-Circuit_12 (kWhs),UTeM CIER Sala Mestros-Other-Circuit_13 (kWhs),UTeM CIER Sala Mestros-Other-Circuit_14 (kWhs),UTeM CIER Sala Mestros-Other-Circuit_15 (kWhs),UTeM CIER Sala Mestros-Other-Circuit_16 (kWhs)
09/07/2024 11:00:00,1.7234,1.8297,0.2821,0.0039,0.0216,0.4217,0.0124,0.0564,0.1395,0.2276,2.8242,0.0248,0.1064,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 12:00:00,1.1156,1.1100,0.5985,0.0035,0.0222,0.4609,0.0122,0.1464,0.1312,0.2279,1.3841,0.4317,0.1063,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 13:00:00,0.3457,0.4427,0.4587,0.0043,0.0216,0.3684,0.0125,0.1284,0.2003,0.2421,0.0103,0.2854,0.1055,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 14:00:00,0.9676,1.0943,0.2436,0.0042,0.0217,0.3099,0.0124,0.0742,0.1677,0.2285,1.4283,0.0252,0.1059,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 15:00:00,0.2220,0.4822,0.2808,0.0034,0.0222,0.3124,0.0121,0.1108,0.1144,0.2414,0.1695,0.0258,0.1072,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 16:00:00,0.2167,0.3958,0.2650,0.0048,0.0221,0.3217,0.0128,0.0896,0.1999,0.2272,0.0106,0.0258,0.1073,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 17:00:00,0.1902,0.3824,0.2422,0.0047,0.0224,0.2990,0.0127,0.0782,0.1729,0.2307,0.0108,0.0259,0.1072,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 18:00:00,0.0925,0.3837,0.3509,0.0027,0.0226,0.3062,0.0117,0.1851,0.0715,0.2381,0.0107,0.0260,0.1072,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 19:00:00,0.2047,0.3762,0.3649,0.0041,0.0224,0.2935,0.0124,0.2053,0.1876,0.2291,0.0107,0.0260,0.1071,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 20:00:00,0.2056,0.3771,0.3742,0.0042,0.0225,0.2905,0.0125,0.2162,0.1886,0.2324,0.0108,0.0260,0.1074,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 21:00:00,0.0777,0.3797,0.3874,0.0022,0.0227,0.2750,0.0115,0.2377,0.0560,0.2451,0.0108,0.0261,0.1076,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 22:00:00,0.2063,0.3499,0.3330,0.0046,0.0228,0.2509,0.0125,0.1939,0.1886,0.2310,0.0111,0.0262,0.1084,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 23:00:00,0.2098,0.3437,0.3538,0.0047,0.0230,0.2253,0.0125,0.2274,0.1923,0.2439,0.0110,0.0263,0.1090,0.0000,No CT,No CT,No CT,No CT,No CT
09/08/2024 00:00:00,0.1329,0.3373,0.3618,0.0038,0.0231,0.2363,0.0119,0.2302,0.1124,0.2274,0.0113,0.0264,0.1095,0.0000,No CT,No CT,No CT,No CT,No CT
09/08/2024 01:00:00,0.1596,0.3128,0.2962,0.0044,0.0234,0.1782,0.0123,0.1922,0.1400,0.2438,0.0114,0.0264,0.1101,0.0000,No CT,No CT,No CT,No CT,No CT
09/08/2024 02:00:00,0.2128,0.3375,0.3761,0.0049,0.0233,0.2518,0.0126,0.2362,0.1952,0.2287,0.0113,0.0265,0.1106,0.0000,No CT,No CT,No CT,No CT,No CT
09/08/2024 03:00:00,0.1892,0.3171,0.3285,0.0048,0.0234,0.1813,0.0126,0.2232,0.1706,0.2457,0.0113,0.0266,0.1110,0.0000,No CT,No CT,No CT,No CT,No CT
09/08/2024 04:00:00,0.1083,0.3028,0.3111,0.0038,0.0236,0.1934,0.0121,0.1997,0.0866,0.2260,0.0114,0.0267,0.1114,0.0000,No CT,No CT,No CT,No CT,No CT
09/08/2024 05:00:00,0.2141,0.3081,0.3394,0.0052,0.0235,0.1740,0.0128,0.2377,0.1965,0.2407,0.0113,0.0266,0.1116,0.0000,No CT,No CT,No CT,No CT,No CT
09/08/2024 06:00:00,0.2142,0.3014,0.3220,0.0050,0.0235,0.1926,0.0129,0.2107,0.1963,0.2245,0.0113,0.0266,0.1115,0.0000,No CT,No CT,No CT,No CT,No CT
09/08/2024 07:00:00,0.0898,0.3335,0.2044,0.0042,0.0233,0.2190,0.0123,0.0787,0.0676,0.2366,0.0114,0.0265,0.1116,0.0000,No CT,No CT,No CT,No CT,No CT
09/08/2024 08:00:00,0.2031,0.3838,0.2764,0.0052,0.0227,0.3014,0.0127,0.1104,0.1853,0.2275,0.0113,0.0262,0.1109,0.0000,No CT,No CT,No CT,No CT,No CT
