Time Bucket (America/Costa_Rica),UTeM CIER Sala Mestros-Mains_A (kWatts),UTeM CIER Sala Mestros-Mains_B (kWatts),UTeM CIER Sala Mestros-Mains_C (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Maestros 1 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Direccion 1 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Rack (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Aula Medios (kWatts),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L1 (kWatts),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L2 (kWatts),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L3 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Maestros 2 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Direccion 2 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Juntas (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Cubiculos (kWatts),UTeM CIER Sala Mestros-Other-Circuit_12 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_13 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_14 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_15 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_16 (kWatts)
09/11/2024 12:45:29,4.4525,3.7113,1.2011,4.1465,0.0185,0.3733,0.0116,0.7274,0.6418,0.2098,2.6392,0.5763,0.1029,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 12:45:30,4.4525,3.7113,1.2011,4.1465,0.0185,0.3733,0.0116,0.7274,0.6418,0.2098,2.6392,0.5763,0.1029,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 12:45:31,4.4525,3.7113,1.2011,4.1465,0.0185,0.3733,0.0116,0.7274,0.6418,0.2098,2.6392,0.5763,0.1029,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 12:45:32,4.4525,3.7113,1.2011,4.1465,0.0185,0.3733,0.0116,0.7274,0.6418,0.2098,2.6392,0.5763,0.1029,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 12:45:33,4.4525,3.7113,1.2011,4.1465,0.0185,0.3733,0.0116,0.7274,0.6418,0.2098,2.6392,0.5763,0.1029,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 12:45:34,4.4525,3.7113,1.2011,4.1465,0.0185,0.3733,0.0116,0.7274,0.6418,0.2098,2.6392,0.5763,0.1029,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 12:45:35,4.4525,3.7113,1.2011,4.1465,0.0185,0.3733,0.0116,0.7274,0.6418,0.2098,2.6392,0.5763,0.1029,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 12:45:36,4.4525,3.7113,1.2011,4.1465,0.0185,0.3733,0.0116,0.7274,0.6418,0.2098,2.6392,0.5763,0.1029,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 12:45:37,4.4525,3.7113,1.2011,4.1465,0.0185,0.3733,0.0116,0.7274,0.6418,0.2098,2.6392,0.5763,0.1029,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 12:45:38,4.4525,3.7113,1.2011,4.1465,0.0185,0.3733,0.0116,0.7274,0.6418,0.2098,2.6392,0.5763,0.1029,0.0000,No CT,No CT,No CT,No CT,No CT
