Consumo_T,Corriente_R,Corriente_V
0.684504986,0.321618408,0.362886578
0.677798092,0.320952147,0.356845945
0.675717503,0.318871558,0.356845945
0.671703488,0.318871558,0.35283193
0.668226004,0.320654243,0.34757176
0.659679353,0.318561733,0.34111762
0.652732462,0.318501681,0.334230781
0.656261235,0.319994479,0.336266756
0.656261235,0.319994479,0.336266756
0.655231059,0.319779426,0.335451633
0.656271994,0.321125537,0.335146457
0.656641215,0.322414488,0.334226727
0.654830754,0.321806788,0.333023965
0.654830754,0.321806788,0.333023965
0.654432803,0.321034431,0.333398372
0.656541079,0.321161926,0.335379153
0.6570535,0.319692135,0.337361366
0.653396219,0.316087693,0.337308526
0.65466693,0.317358404,0.337308526
0.653895259,0.317358404,0.336536855
0.653379023,0.318065763,0.335313261
0.650182188,0.319189221,0.330992967
0.652044773,0.32094264,0.331102133
0.651774555,0.320223957,0.331550598
0.651774555,0.320223957,0.331550598
0.649571031,0.319392174,0.330178857
0.649647892,0.319284409,0.330363482
0.64954856,0.319397718,0.330150843
0.649864256,0.319161415,0.330702841
0.649864256,0.319161415,0.330702841
0.649747103,0.320089072,0.329658031
0.650246978,0.320068181,0.330178797
0.650065124,0.321099967,0.328965157
0.647715598,0.32060802,0.327107579
0.647569805,0.320462227,0.327107579
0.648114085,0.320462227,0.327651858
0.649473399,0.321578652,0.327894747
0.649866581,0.322275013,0.327591568
0.6477319,0.321309596,0.326422304
0.648599744,0.322223932,0.326375812
0.648599744,0.322223932,0.326375812
0.649393618,0.322407693,0.326985925
0.647922724,0.321593732,0.326328993
0.648020416,0.320519537,0.32750088
0.644134194,0.318164766,0.325969428
0.644134194,0.318164766,0.325969428
0.64733696,0.320122749,0.327214211
0.644797742,0.320002168,0.324795574
0.641867787,0.318416119,0.323451668
0.642806292,0.316849858,0.325956434
0.646266669,0.320310235,0.325956434
0.646618843,0.320310235,0.326308608
0.646775931,0.320310652,0.326465279
0.645140827,0.318281829,0.326858997
0.642474174,0.318591207,0.323882967
0.641278982,0.317045242,0.324233741
0.641278982,0.317045242,0.324233741
0.63856414,0.313963085,0.324601054
0.642449558,0.316870242,0.325579315
0.64191854,0.31595251,0.32596603
0.644257963,0.317992687,0.326265275
0.646161646,0.31989637,0.326265275
0.653869271,0.31989637,0.333972901
0.658057094,0.31995061,0.338106483
0.657189012,0.319559157,0.337629855
0.652571708,0.315522879,0.337048829
0.654338121,0.315046459,0.339291662
0.654338121,0.315046459,0.339291662
0.646188647,0.316932917,0.32925573
0.643142641,0.3139714,0.32917124
0.643819571,0.313076168,0.330743402
0.639448673,0.313560396,0.325888276
0.639448673,0.313560396,0.325888276
0.639947444,0.313807935,0.32613951
0.643931746,0.316984683,0.326947063
0.645596564,0.318293571,0.327302992
0.647619456,0.31958437,0.328035086
0.646526128,0.318491042,0.328035086
0.647600383,0.318491042,0.329109341
0.644008428,0.315064967,0.328943461
0.646912485,0.314624697,0.332287788
0.644290119,0.313597143,0.330692977
0.642790675,0.313130081,0.329660594
0.642790675,0.313130081,0.329660594
0.64553827,0.316293955,0.329244316
0.647412837,0.319540471,0.327872366
0.648519725,0.320581496,0.327938229
0.649033993,0.322202444,0.326831549
0.649033993,0.322202444,0.326831549
0.645946592,0.31862095,0.327325642
0.642598033,0.316315085,0.326282948
0.642635316,0.316500425,0.32613489
0.646705538,0.320124269,0.32658127
0.64749077,0.3209095,0.32658127
0.647930205,0.3209095,0.327020705
0.64739719,0.32086134,0.326535851
0.646413326,0.320965588,0.325447738
0.645545185,0.319193035,0.326352149
0.641300499,0.31497401,0.326326489
0.641300499,0.31497401,0.326326489
0.638440311,0.312724322,0.325715989
0.640507638,0.313874006,0.326633632
0.641786426,0.314194471,0.327591956
0.640515357,0.31418407,0.326331288
0.640927881,0.314596593,0.326331288
0.641078562,0.314596593,0.326481968
0.640851587,0.314650148,0.326201439
0.641188562,0.315289855,0.325898707
0.641480386,0.315760136,0.325720251
0.640535146,0.314814895,0.325720251
0.640698045,0.314814895,0.32588315
0.642500997,0.315741926,0.32675907
0.648787469,0.316348463,0.332439005
0.649451494,0.314733654,0.33471784
0.651417732,0.31329003,0.338127702
0.651417732,0.31329003,0.338127702
0.655193537,0.317164272,0.338029265
0.656872183,0.319439143,0.33743304
0.659954876,0.321127087,0.338827789
0.657189488,0.321552008,0.33563748
0.659285337,0.323647857,0.33563748
0.653356373,0.323647857,0.329708517
0.651883513,0.32131508,0.330568433
0.65268752,0.323440164,0.329247355
0.651384592,0.322207004,0.329177588
0.650426239,0.321248651,0.329177588
0.653110504,0.321248651,0.331861854
0.653805822,0.316241533,0.33756429
0.642850518,0.315369338,0.32748118
0.64450708,0.317352623,0.327154458
0.644412249,0.317467481,0.326944768
0.640622407,0.313677639,0.326944768
0.640439332,0.313677639,0.326761693
0.643567741,0.315006256,0.328561485
0.646081358,0.318478584,0.327602774
0.649180681,0.320975453,0.328205228
0.649082184,0.320876956,0.328205228
0.650339454,0.320876956,0.329462498
0.646104187,0.314884126,0.331220061
0.64747411,0.316333026,0.331141084
0.654381514,0.320729345,0.333652169
0.657829255,0.321156681,0.336672574
0.656925976,0.320253402,0.336672574
0.655847698,0.320253402,0.335594296
0.646470189,0.314755082,0.331715107
0.644235611,0.317545176,0.326690435
0.641382903,0.312974095,0.328408808
0.644126475,0.315717667,0.328408808
0.641987413,0.315717667,0.326269746
0.640315324,0.314780176,0.325535148
0.641168654,0.314083517,0.327085137
0.650371581,0.318003654,0.332367927
0.652393162,0.320025235,0.332367927
0.655083418,0.320025235,0.335058182
0.654584408,0.320016146,0.334568262
0.650435358,0.318895489,0.331539869
0.646126091,0.315449059,0.330677032
0.389216203,0.056606103,0.332610101
0.388756853,0.056146752,0.332610101
0.393772971,0.056146752,0.337626219
0.393174414,0.057970826,0.335203588
0.393628024,0.059409998,0.334218025
0.398327898,0.058873158,0.33945474
0.397455506,0.058000766,0.33945474
0.395694993,0.058000766,0.337694228
0.395613339,0.058049258,0.337564081
0.395337027,0.05746926,0.337867767
3.350149482,3.01281023,0.337339252
3.691074222,3.35373497,0.337339252
3.683437049,3.344874144,0.338562906
3.683203846,3.344874144,0.338329703
3.671423018,3.333282709,0.338140309
3.663994551,3.326267719,0.337726831
3.653499395,3.316845417,0.336653978
3.646118671,3.309464693,0.336653978
3.647023737,3.309464693,0.337559044
3.637537628,3.302219391,0.335318238
3.626256496,3.293248653,0.333007842
3.616593361,3.283790827,0.332802534
3.611587524,3.27878499,0.332802534
3.605267107,3.270847797,0.33441931
3.607868731,3.270847797,0.337020934
3.605763853,3.265267134,0.340496719
3.598799109,3.25890398,0.339895129
3.590327591,3.250313997,0.340013593
3.585346788,3.245333195,0.340013593
3.58325538,3.245333195,0.337922186
3.578110486,3.239171267,0.33893922
3.56500113,3.23139739,0.33360374
3.557438046,3.2281003,0.329337746
3.553729445,3.224391699,0.329337746
3.554087043,3.224391699,0.329695344
3.555617452,3.219738007,0.335879445
3.553949565,3.215444565,0.338505
3.550777763,3.211373329,0.339404434
3.542514175,3.203109741,0.339404434
3.536233991,3.197312832,0.33892116
3.536586165,3.197312832,0.339273334
3.523955673,3.190674543,0.33328113
3.517513573,3.189157724,0.328355849
3.521048784,3.183608055,0.337440729
3.516033173,3.178592443,0.337440729
3.51208362,3.178592443,0.333491176
3.507116616,3.17489624,0.332220376
2.35778001,2.02986908,0.32791093
0.382734071,0.056137245,0.326596826
0.384045295,0.057448469,0.326596826
0.385043941,0.057448469,0.327595472
0.384513292,0.056608651,0.327904642
0.385841493,0.056783918,0.329057574
0.386366576,0.057952642,0.328413934
0.386406686,0.057992753,0.328413934
0.385153711,0.057039618,0.328114092
0.387613654,0.057039618,0.330574036
0.384543404,0.0530238,0.331519604
0.386067744,0.048812833,0.337254912
0.385484423,0.050125059,0.335359365
0.385201383,0.049842019,0.335359365
0.386568416,0.049842019,0.336726397
0.389549799,0.050367482,0.339182317
0.387546461,0.050545495,0.337000966
0.384522755,0.049948204,0.33457455
0.387781814,0.053207263,0.33457455
0.386084214,0.053207263,0.332876951
0.387614578,0.051426053,0.336188525
0.38645817,0.050613087,0.335845083
0.386651773,0.048597831,0.338053942
0.384088568,0.04845985,0.335628718
0.384088568,0.04845985,0.335628718
0.386646055,0.054556452,0.332089603
0.38751984,0.057535384,0.329984456
0.388951641,0.056593578,0.332358062
0.384541735,0.052892402,0.331649333
0.384137671,0.052488338,0.331649333
0.383529466,0.052488338,0.331041127
0.379723638,0.051994264,0.327729374
0.385756634,0.058601581,0.327155054
0.385730416,0.057490468,0.328239948
0.382650767,0.054410819,0.328239948
0.384051386,0.054410819,0.329640567
0.388354011,0.053561337,0.334792674
0.384831414,0.05536364,0.329467773
0.389242813,0.057255194,0.331987619
0.385132238,0.056341425,0.328790814
