Consumo_T,Aula Medios,Cubiculos,Direccion 1,Direccion 2,Rack,Sala Juntas,Maestros 1,Maestros 2,L1,L2,L3,Aula_Medios_Pred,Cubiculos_Pred,Direccion1_Pred,Direccion2_Pred,Rack_Pred,Sala_Juntas_Pred,Maestros1_Pred,Maestros2_Pred
3.9591,0.0116,0.0,0.0223,0.0248,0.463,0.1071,0.0034,2.9114,0.1323,0.0706,0.2126,0.013841999999999995,2.231992000000002,0.02248999999999998,0.026434000000000034,0.1716670000000002,0.10600399999999997,0.006640999999999997,0.115739
3.9457,0.0108,0.0,0.0223,0.0248,0.4625,0.108,0.003,2.8997,0.1322,0.0703,0.2121,0.011209000000000002,0.023813000000000004,0.022311999999999988,0.02476999999999997,0.49129199999999934,0.10789499999999996,0.0033400000000000023,2.8668989999999983
3.9534,0.0119,0.0022,0.0227,0.025,0.4645,0.1184,0.0035,2.8895,0.1328,0.0704,0.2125,0.011949000000000012,0.04845800000000006,0.022365999999999987,0.025176999999999974,0.41984500000000025,0.11452899999999987,0.0036770000000000014,2.750065000000001
1.753,0.0126,0.0047,0.0227,0.1383,0.2772,0.0138,0.0049,0.6807,0.1308,0.2547,0.2126,0.014261999999999988,0.0031019999999999997,0.022201500000000013,0.19401649999999987,0.101914,0.046041499999999944,0.0076719999999999965,0.4529105000000006
1.7523,0.0144,0.0047,0.0222,0.1383,0.032,0.0138,0.0081,0.6807,0.1301,0.495,0.213,0.014470999999999989,0.0031019999999999997,0.022170833333333344,0.19398149999999983,0.09590533333333333,0.04611249999999994,0.007981666666666663,0.4529378333333341
1.7221,0.0149,0.0047,0.0221,0.1383,0.0318,0.0138,0.008,0.6807,0.1299,0.4642,0.2137,0.013375,0.0026320000000000015,0.02257900000000002,0.11033799999999999,0.15530200000000013,0.055292999999999974,0.005835000000000003,0.38566600000000073
1.8216,0.0146,0.0047,0.0217,0.1383,0.1403,0.0138,0.0089,0.6807,0.1299,0.4557,0.213,0.013861299999999976,0.0029140000000000004,0.02184156666666669,0.3170694416666666,0.2163114249999999,0.04888739999999995,0.00668920833333334,0.42601805833333395
2.3254,0.0144,0.0047,0.0218,0.1383,0.6509,0.0138,0.008,0.6807,0.129,0.4505,0.2133,0.01415399999999999,0.002444000000000002,0.021921000000000013,0.40221400000000046,0.48838200000000015,0.05854499999999992,0.007596000000000003,0.3589830000000005
2.3495,0.0138,0.0047,0.022,0.1383,0.6783,0.0138,0.0082,0.6807,0.129,0.4482,0.2125,0.014013999999999992,9.400000000000001e-05,0.02204400000000001,0.8842769999999999,0.3818779999999994,0.10506000000000007,0.006575000000000002,0.023783
2.4577,0.0142,0.0319,0.0219,0.0998,0.6602,0.1551,0.0083,0.6807,0.1285,0.4447,0.2124,0.013105999999999991,0.021692000000000003,0.022182000000000007,0.20331199999999974,0.5022220000000007,0.13994899999999977,0.006139999999999992,0.4661110000000007
4.4411,0.0143,0.0,0.0222,0.0249,0.5906,0.1074,0.0069,2.8907,0.1284,0.4429,0.2128,0.014660999999999995,0.6160559999999997,0.022234000000000018,0.025274999999999995,0.48574900000000015,0.10717800000000002,0.013393000000000002,2.199187000000002
4.432,0.0143,0.0,0.022,0.0248,0.5689,0.1073,0.0079,2.9019,0.128,0.4437,0.2132,0.014401999999999986,0.20602299999999998,0.02200699999999999,0.024936999999999983,0.5320229999999995,0.10721500000000012,0.02412499999999998,2.660996000000005
4.4556,0.0142,0.0,0.0217,0.0244,0.5707,0.1073,0.0088,2.926,0.1278,0.4421,0.2126,0.013818000000000007,0.5862630000000003,0.02159400000000002,0.025660999999999982,0.29325799999999974,0.10853799999999987,0.40653100000000014,2.042594
4.5058,0.0146,0.0,0.0221,0.0249,0.5772,0.107,0.0079,2.9728,0.1276,0.4391,0.2126,0.6058830000000008,0.043806000000000005,0.021832000000000015,0.025096000000000018,0.5608399999999996,0.10682599999999995,0.06530600000000003,2.2829630000000027
4.4743,0.0145,0.0,0.022,0.0248,0.5869,0.1106,0.0081,2.9247,0.1278,0.4425,0.2124,0.013374999999999991,0.3105,0.02143600000000003,0.025582000000000014,0.36122699999999985,0.10801299999999993,0.35739600000000005,2.364535000000003
4.4489,0.0142,0.0,0.0222,0.0248,0.5777,0.1076,0.0089,2.9054,0.1286,0.4463,0.2132,0.014152999999999997,0.179657,0.022050000000000024,0.025078999999999976,0.49916300000000013,0.10782899999999987,0.11473100000000004,2.6481249999999954
4.4276,0.0144,0.0,0.022,0.0247,0.5721,0.107,0.0085,2.8933,0.1283,0.4445,0.2128,0.014293999999999987,0.10468899999999999,0.021942,0.024862999999999986,0.5388809999999995,0.107229,0.05074499999999995,2.7605640000000045
4.4369,0.0141,0.0,0.0221,0.0249,0.579,0.1072,0.0073,2.9006,0.1278,0.4414,0.2125,0.015340000000000006,1.668485000000001,0.022304,0.02591899999999999,0.317121,0.1066679999999999,0.009539000000000018,1.0202699999999978
4.353,0.0143,0.0,0.0219,0.0248,0.5805,0.0236,0.0073,2.9034,0.1274,0.4376,0.2122,0.014334999999999992,0.32330699999999996,0.021967000000000018,0.024983999999999975,0.5135980000000004,0.05294900000000003,0.007604999999999986,2.5018800000000008
4.4488,0.0141,0.0,0.0218,0.0247,0.5851,0.1071,0.0072,2.9118,0.1273,0.4372,0.2125,0.014152999999999997,0.179657,0.022050000000000024,0.025078999999999976,0.49916300000000013,0.10782899999999987,0.11473100000000004,2.6481249999999954
4.47,0.0144,0.0,0.0216,0.0247,0.6225,0.1067,0.0067,2.8996,0.1272,0.4346,0.212,0.013976999999999986,0.3105,0.02156500000000002,0.025151999999999994,0.49439800000000056,0.10698099999999997,0.1288510000000001,2.468509000000001
4.5024,0.0143,0.0,0.0217,0.0249,0.6435,0.107,0.0093,2.9096,0.1267,0.4334,0.212,0.33947999999999984,0.043806000000000005,0.02162900000000004,0.025088000000000017,0.5710510000000006,0.10722500000000004,0.1089749999999999,2.486750000000002
