Consumo_T,UTEM CIER DAVID-Mains_A (kWatts),UTEM CIER DAVID-Mains_B (kWatts),UTEM CIER DAVID-Mains_C (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 1 (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 2 (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna  (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L3 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L3 (kWatts),UTEM CIER DAVID-Solar_Generation-Inversor (kWatts),UTEM CIER DAVID-Room_Multi-use Circuit-Contactos David (kWatts),UTEM CIER DAVID-Lights-Alumbrado (kWatts),UTEM CIER DAVID-Lights-Alumbrado Fotovoltaico (kWatts),UTEM CIER DAVID-Other-Circuit_15 (kWatts),UTEM CIER DAVID-Other-Circuit_16 (kWatts)
0.78,0.2268,0.0,0.0259,0.0171,0.0077,0.0125,0.0145,0.057,0.0262,0.0085,0.1902,0.0,0.004,0.0,0.0182,0.1707,0.0,0,0
0.78,0.227,0.0057,0.0259,0.0171,0.0079,0.0125,0.0145,0.0577,0.0262,0.0084,0.1898,0.0,0.0046,0.0,0.0184,0.1626,0.0,0,0
0.8,0.2277,0.0057,0.0259,0.0171,0.0082,0.0126,0.0145,0.0582,0.0264,0.0085,0.1901,0.0,0.004,0.0,0.0185,0.1797,0.0,0,0
0.8,0.2275,0.0057,0.0259,0.0171,0.0083,0.0126,0.0147,0.0579,0.0264,0.0085,0.1902,0.0,0.004,0.0,0.0186,0.18,0.0,0,0
0.79,0.2273,0.0056,0.0258,0.017,0.008,0.0126,0.0147,0.0578,0.0264,0.0085,0.1901,0.0,0.0036,0.0,0.0184,0.1788,0.0,0,0
0.79,0.2275,0.0057,0.0258,0.0173,0.008,0.0126,0.0147,0.0578,0.0265,0.0085,0.1903,0.0,0.0037,0.0,0.0185,0.1737,0.0,0,0
0.79,0.2287,0.0056,0.0259,0.0173,0.0083,0.0127,0.0147,0.0588,0.0266,0.0085,0.1905,0.0,0.0043,0.0,0.0186,0.1729,0.0,0,0
0.79,0.2279,0.0057,0.0259,0.0172,0.0083,0.0127,0.0148,0.0581,0.0266,0.0086,0.1905,0.0,0.0043,0.0,0.0189,0.1742,0.0,0,0
0.79,0.2285,0.0056,0.0259,0.0172,0.0083,0.0126,0.0148,0.0589,0.0266,0.0085,0.1904,0.0,0.004,0.0,0.0187,0.1734,0.0,0,0
0.79,0.2275,0.0057,0.0259,0.0173,0.0084,0.0127,0.0147,0.058,0.0267,0.0086,0.1903,0.0,0.0039,0.0,0.0189,0.1739,0.0,0,0
0.79,0.2275,0.0057,0.0259,0.0172,0.0083,0.0128,0.0148,0.0582,0.0267,0.0085,0.1901,0.0,0.004,0.0,0.0188,0.1727,0.0,0,0
0.79,0.228,0.0059,0.026,0.0174,0.0083,0.0127,0.0147,0.0584,0.0267,0.0086,0.1905,0.0,0.004,0.0,0.0187,0.1747,0.0,0,0
0.8,0.2284,0.0058,0.0259,0.0173,0.0082,0.0129,0.0148,0.0581,0.0267,0.0086,0.191,0.0,0.0042,0.0,0.0187,0.1756,0.0,0,0
0.8,0.2283,0.0058,0.0259,0.0174,0.0081,0.0127,0.0148,0.0585,0.0268,0.0086,0.1906,0.0,0.0039,0.0,0.0189,0.1747,0.0,0,0
0.8,0.2283,0.0058,0.0259,0.0173,0.0086,0.0127,0.0148,0.0586,0.0268,0.0086,0.1906,0.0,0.0037,0.0,0.0189,0.1762,0.0,0,0
0.8,0.2286,0.0059,0.0259,0.0173,0.0083,0.0128,0.0147,0.0589,0.0268,0.0086,0.1907,0.0,0.0043,0.0,0.019,0.1761,0.0,0,0
0.8,0.2284,0.0059,0.0259,0.0174,0.0083,0.0128,0.0149,0.0588,0.0269,0.0086,0.1905,0.0,0.004,0.0,0.0189,0.1747,0.0,0,0
