Consumo_T, Mains_A, Mains_B, Mains_C, AC Sala Maestros 1, AC Direccion 1, AC Rack, AC Aula Medios, Tab Secundario L1, Tab Secundario L2, Tab Secundario L3, AC Sala Maestros 2, AC Direccion 2, AC Sala Juntas, AC Cubiculos,Aula_Medios_Pred,Cubiculos_Pred,Direccion1_Pred,Direccion2_Pred,Rack_Pred,Sala_Juntas_Pred,Maestros1_Pred,Maestros2_Pred,Tab_L1_Pred,Tab_L2_Pred,Tab_L3_Pred
7.8862,1.7045,1.8437,0.3789,0.0034,0.0223,0.463,0.0116,0.1323,0.0706,0.2126,2.9114,0.0248,0.1071,0.0,0.012655999999999992,0.5850000000000003,0.022075000000000018,0.025262999999999973,0.39199000000000006,0.106001,0.003995000000000002,2.1894330000000033,0.10835299999999996,0.14226100000000005,0.36893200000000026
7.8589,1.6975,1.8372,0.3785,0.003,0.0223,0.4625,0.0108,0.1322,0.0703,0.2121,2.8997,0.0248,0.108,0.0,0.011618999999999999,0.44251299999999993,0.022331999999999987,0.02508699999999998,0.42431499999999933,0.10743899999999998,0.003994000000000003,2.348750999999998,0.14332799999999984,0.13365699999999975,0.28573499999999963
7.8547,1.6892,1.8334,0.3787,0.0035,0.0227,0.4645,0.0119,0.1328,0.0704,0.2125,2.8895,0.025,0.1184,0.0022,0.01158400000000001,0.02465300000000008,0.022228999999999974,0.024833999999999964,0.44413799999999987,0.11401099999999992,0.003443000000000002,2.869215999999999,0.13375099999999981,0.07667199999999996,0.21711099999999978
5.702,1.8936,1.7694,0.286,0.0049,0.0227,0.2772,0.0126,0.1308,0.2547,0.2126,0.6807,0.1383,0.0138,0.0047,0.013845999999999994,1.1612520000000004,0.022675999999999984,0.07024899999999999,0.12528700000000012,0.0722799999999999,0.006306999999999997,0.3146720000000006,0.09290300000000001,0.22637400000000027,0.34648600000000024
5.6803,2.1156,1.6481,0.1643,0.0081,0.0222,0.032,0.0144,0.1301,0.495,0.213,0.6807,0.1383,0.0138,0.0047,0.014202999999999992,0.4297019999999997,0.02229,0.11251799999999984,0.06923200000000003,0.03548099999999994,0.0074699999999999975,0.5425040000000007,0.1176760000000001,0.39901799999999993,0.2624520000000001
5.5858,2.0662,1.6337,0.1638,0.008,0.0221,0.0318,0.0149,0.1299,0.4642,0.2137,0.6807,0.1383,0.0138,0.0047,0.014106999999999991,0.17352699999999982,0.021424000000000012,0.1340559999999997,0.062138999999999944,0.02710299999999997,0.007491000000000002,0.6228680000000009,0.14335699999999987,0.4738429999999999,0.23936899999999986
5.806,2.0668,1.7008,0.2168,0.0089,0.0217,0.1403,0.0146,0.1299,0.4557,0.213,0.6807,0.1383,0.0138,0.0047,0.013864999999999987,0.46562299999999984,0.021979000000000023,0.09570599999999996,0.1990229999999999,0.04986499999999992,0.00744000000000001,0.698748000000001,0.12669599999999995,0.30712200000000006,0.26077700000000015
6.7882,2.0618,1.9316,0.4694,0.008,0.0218,0.6509,0.0144,0.129,0.4505,0.2133,0.6807,0.1383,0.0138,0.0047,0.013149999999999995,0.002444000000000002,0.021092000000000003,0.08330800000000008,0.46837399999999996,0.05580699999999996,0.05537999999999998,1.4863260000000005,0.12175599999999986,0.3413580000000004,0.1955700000000001
6.8072,2.0438,1.9314,0.4825,0.0082,0.022,0.6783,0.0138,0.129,0.4482,0.2125,0.6807,0.1383,0.0138,0.0047,0.011204000000000009,0.022932,0.015877999999999975,0.019111,0.22623000000000024,0.08177800000000009,0.3373579999999999,1.912691000000001,0.06188499999999995,0.6001519999999992,0.10621500000000013
6.907,2.0474,1.9283,0.4736,0.0083,0.0219,0.6602,0.0142,0.1285,0.4447,0.2124,0.6807,0.0998,0.1551,0.0319,0.013558999999999998,0.29970800000000014,0.02194200000000002,0.07594000000000008,0.5293010000000007,0.13947799999999974,0.006918999999999985,0.9941130000000006,0.11864100000000005,0.3173270000000002,0.26370299999999974
8.8184,2.044,1.8945,0.4388,0.0069,0.0222,0.5906,0.0143,0.1284,0.4429,0.2128,2.8907,0.0249,0.1074,0.0,0.014285999999999988,0.341749,0.022100000000000012,0.02504,0.5428160000000004,0.10714700000000005,0.017386999999999975,2.5103740000000023,0.1249359999999998,0.43763400000000074,0.29616200000000054
8.8004,2.0508,1.8898,0.4278,0.0079,0.022,0.5689,0.0143,0.128,0.4437,0.2132,2.9019,0.0248,0.1073,0.0,0.014635999999999991,0.907809,0.022055999999999992,0.025380999999999983,0.4493749999999998,0.1069080000000001,0.008495000000000013,1.8899660000000014,0.13628800000000002,0.456426,0.4140300000000003
