fecha,valor_corriente
2024-08-16_08-27-00,5.88E-39
2024-08-16_08-27-05,5.88E-39
2024-08-16_08-27-07,5.88E-39
2024-08-16_08-27-09,5.88E-39
2024-08-16_08-27-11,5.88E-39
2024-08-16_08-27-16,3.096119642
2024-08-16_08-27-18,3.065346479
2024-08-16_08-27-20,3.053863764
2024-08-16_08-27-22,3.063760519
2024-08-16_08-27-27,3.096745014
2024-08-16_08-27-29,3.069589853
2024-08-16_08-27-31,3.085558891
2024-08-16_08-27-33,3.094775677
2024-08-16_08-27-38,3.130565643
2024-08-16_08-27-40,3.128847361
2024-08-16_08-27-42,3.143410206
2024-08-16_08-27-44,3.157200098
2024-08-16_08-27-49,3.177842855
