Time Bucket (America/Costa_Rica),UTeM CIER Sala Mestros-Mains_A (kWatts),UTeM CIER Sala Mestros-Mains_B (kWatts),UTeM CIER Sala Mestros-Mains_C (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Maestros 1 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Direccion 1 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Rack (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Aula Medios (kWatts),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L1 (kWatts),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L2 (kWatts),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L3 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Maestros 2 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Direccion 2 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Juntas (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Cubiculos (kWatts),UTeM CIER Sala Mestros-Other-Circuit_12 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_13 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_14 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_15 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_16 (kWatts)
09/11/2024 15:30:13,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:14,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:15,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:16,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:17,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:18,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:19,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:20,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:21,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:22,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:23,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:24,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:25,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:26,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:27,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:28,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:29,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:30,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:31,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:32,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
09/11/2024 15:30:33,0.4801,0.3897,0.4908,0.0015,0.0209,0.3360,0.0116,0.0813,0.2381,0.2172,0.0080,0.4724,0.1010,0.0000,No CT,No CT,No CT,No CT,No CT
