Tiempo de Inicio,Tiempo de Fin,Duración,Valor Inicial,Valor Final
2024-09-07 10:23:00,2024-09-07 10:56:00,00:33:00,0.003,0.0023
2024-09-07 11:01:00,2024-09-09 08:55:00,21:54:00,0.0032,0.0078
2024-09-09 08:57:00,2024-09-09 09:10:00,00:13:00,0.2133,0.2133
2024-09-09 09:13:00,2024-09-09 09:19:00,00:06:00,4.1873,4.1907
2024-09-09 09:22:00,2024-09-09 09:22:00,00:00:00,4.1002,4.1002
2024-09-09 09:24:00,2024-09-09 09:28:00,00:04:00,0.2257,0.2257
2024-09-09 09:31:00,2024-09-09 09:53:00,00:22:00,4.1112,4.1255
2024-09-09 09:55:00,2024-09-09 10:00:00,00:05:00,4.1438,4.147
2024-09-09 10:02:00,2024-09-09 10:11:00,00:09:00,4.1828,4.1613
2024-09-09 10:13:00,2024-09-09 10:16:00,00:03:00,4.0805,4.0772
2024-09-09 10:18:00,2024-09-09 10:19:00,00:01:00,4.126,4.1308
2024-09-09 10:21:00,2024-09-09 10:21:00,00:00:00,4.1189,4.1189
2024-09-09 10:23:00,2024-09-09 10:23:00,00:00:00,4.1287,4.1287
2024-09-09 10:25:00,2024-09-09 10:32:00,00:07:00,4.099,4.0965
2024-09-09 10:34:00,2024-09-09 10:35:00,00:01:00,4.1225,4.1161
2024-09-09 10:37:00,2024-09-09 10:44:00,00:07:00,4.0948,4.0775
2024-09-09 10:47:00,2024-09-09 10:47:00,00:00:00,4.0917,4.0917
2024-09-09 10:49:00,2024-09-09 10:50:00,00:01:00,4.1191,4.1308
2024-09-09 10:53:00,2024-09-09 11:01:00,00:08:00,4.1319,4.1197
2024-09-09 11:04:00,2024-09-09 11:04:00,00:00:00,4.1334,4.1334
2024-09-09 11:06:00,2024-09-09 11:12:00,00:06:00,4.1953,4.1631
2024-09-09 11:15:00,2024-09-09 11:17:00,00:02:00,4.1974,4.1954
2024-09-09 11:19:00,2024-09-09 11:26:00,00:07:00,4.1777,4.1727
2024-09-09 11:28:00,2024-09-09 11:29:00,00:01:00,4.147,4.1616
2024-09-09 11:32:00,2024-09-09 11:36:00,00:04:00,4.1685,4.1891
2024-09-09 11:38:00,2024-09-09 11:46:00,00:08:00,4.2488,4.2271
2024-09-09 11:55:00,2024-09-09 11:55:00,00:00:00,4.2649,4.2649
2024-09-09 12:00:00,2024-09-09 12:05:00,00:05:00,4.1935,4.1922
2024-09-09 12:10:00,2024-09-09 12:10:00,00:00:00,4.2231,4.2231
2024-09-09 12:12:00,2024-09-09 12:12:00,00:00:00,4.2516,4.2516
2024-09-09 12:14:00,2024-09-09 12:16:00,00:02:00,4.2216,4.2411
2024-09-09 12:22:00,2024-09-10 07:56:00,19:34:00,0.0021,0.0036
2024-09-10 07:59:00,2024-09-10 08:20:00,00:21:00,4.1862,4.143
2024-09-10 08:22:00,2024-09-10 08:23:00,00:01:00,4.0421,4.0459
2024-09-10 08:26:00,2024-09-10 08:28:00,00:02:00,3.4639,3.4639
2024-09-10 08:30:00,2024-09-10 08:59:00,00:29:00,4.0529,4.1267
2024-09-10 09:01:00,2024-09-10 09:08:00,00:07:00,4.1424,4.173
2024-09-10 09:11:00,2024-09-10 09:13:00,00:02:00,4.1428,4.1583
2024-09-10 09:15:00,2024-09-10 09:16:00,00:01:00,4.1854,4.1784
2024-09-10 09:20:00,2024-09-10 09:20:00,00:00:00,4.1781,4.1781
2024-09-10 09:23:00,2024-09-10 09:25:00,00:02:00,4.2195,4.1971
2024-09-10 09:27:00,2024-09-10 09:27:00,00:00:00,4.2394,4.2394
2024-09-10 09:29:00,2024-09-10 09:38:00,00:09:00,4.2098,4.2084
2024-09-10 09:40:00,2024-09-10 09:42:00,00:02:00,4.2303,4.2519
