Time Bucket (America/Costa_Rica),corriente
2024-09-11_11-03-42,3.39152455329895
2024-09-11_11-03-43,3.39152455329895
2024-09-11_11-03-44,3.342880249023437
2024-09-11_11-03-45,3.3246090412139893
2024-09-11_11-03-46,3.304415464401245
2024-09-11_11-03-47,3.2938694953918457
2024-09-11_11-03-48,3.2787697315216064
2024-09-11_11-03-49,3.2787697315216064
2024-09-11_11-03-50,3.274022340774536
2024-09-11_11-03-51,3.263624429702759
2024-09-11_11-03-52,3.262094259262085
2024-09-11_11-03-53,3.254340648651123
2024-09-11_11-03-54,3.243947982788086
2024-09-11_11-03-55,3.230356454849243
2024-09-11_11-03-56,3.230356454849243
2024-09-11_11-03-57,3.225209951400757
2024-09-11_11-03-58,3.2190544605255127
2024-09-11_11-03-59,3.209993600845337
2024-09-11_11-04-0,3.201296329498291
2024-09-11_11-04-1,3.201296329498291
2024-09-11_11-04-2,3.196396827697754
2024-09-11_11-04-3,3.19323992729187
2024-09-11_11-04-4,3.1853158473968506
2024-09-11_11-06-5,3.1741647720336914
2024-09-11_11-06-6,3.1741647720336914

