Time Bucket (America/Costa_Rica),corriente
2024-08-16_08-38-01,5.877471754111439e-39
2024-08-16_08-38-03,5.877471754111439e-39
2024-08-16_08-38-08,5.877471754111439e-39
2024-08-16_08-38-10,5.877471754111439e-39
2024-08-16_08-38-12,5.877471754111439e-39
2024-08-16_08-38-14,5.877471754111439e-39
2024-08-16_08-38-19,1.7532402276992798
2024-08-16_08-38-21,1.1362961530685425
2024-08-16_08-38-23,1.1728968620300293
2024-08-16_08-38-25,1.1748706102371216
2024-08-16_08-38-30,1.3602558374404907
2024-08-16_08-38-32,1.2288898229599
2024-08-16_08-38-34,1.227542519569397
2024-08-16_08-38-36,1.20666241645813
2024-08-16_08-38-41,1.1957188844680786
2024-08-16_08-38-43,1.1964828968048096
2024-08-16_08-38-45,1.1962449550628662
2024-08-16_08-38-47,1.3305681943893433
2024-08-16_08-38-52,1.5963413715362549
2024-08-16_08-38-54,1.245290756225586
2024-08-16_08-38-56,1.5503690242767334
2024-08-16_08-38-58,1.5427908897399902
2024-08-16_08-39-01,1.6671500205993652
2024-08-16_08-39-03,1.5332872867584229
2024-08-16_08-39-05,1.213035225868225
2024-08-16_08-39-07,1.2141189575195312
2024-08-16_08-39-09,1.3006149530410769
2024-08-16_08-39-12,1.7762547731399536
2024-08-16_08-39-14,5.877471754111439e-39
2024-08-16_08-39-16,5.877471754111439e-39
2024-08-16_08-39-18,5.877471754111439e-39
2024-08-16_08-39-20,1.8216150999069207
2024-08-16_08-39-23,1.97750461101532
2024-08-16_08-39-25,1.5794906616210938
2024-08-16_08-39-27,1.4705970287322998
2024-08-16_08-39-29,1.5725228786468506
2024-08-16_08-39-31,1.448225021362305
2024-08-16_08-39-34,1.4849627017974854
2024-08-16_08-39-36,1.440300703048706
2024-08-16_08-39-38,1.276311278343201
2024-08-16_08-39-40,1.2742737531661987
2024-08-16_08-39-42,1.2892534732818604
2024-08-16_08-39-45,1.438332438468933
2024-08-16_08-39-47,1.541189193725586
2024-08-16_08-39-49,1.6362047195434568
2024-08-16_08-39-51,1.367518663406372
2024-08-16_08-39-53,1.494467854499817
2024-08-16_08-39-56,1.4925155639648438
2024-08-16_08-39-58,1.7117818593978882
2024-08-16_08-40-00,1.8241022825241089
2024-08-16_08-40-02,1.7902872562408447
2024-08-16_08-40-07,5.877471754111439e-39
2024-08-16_08-40-09,5.877471754111439e-39
2024-08-16_08-40-11,5.877471754111439e-39
