Consumo_T,Aula Medios,Cubiculos ,Direccion 1,Direccion 2 ,Rack,Sala Juntas,Maestros 1,Maestros 2,L1,L2 ,L3 
3.9591,0.0116,0,0.0223,0.0248,0.463,0.1071,0.0034,2.9114,0.1323,0.0706,0.2126
3.9457,0.0108,0,0.0223,0.0248,0.4625,0.108,0.003,2.8997,0.1322,0.0703,0.2121
3.9534,0.0119,0.0022,0.0227,0.025,0.4645,0.1184,0.0035,2.8895,0.1328,0.0704,0.2125
1.753,0.0126,0.0047,0.0227,0.1383,0.2772,0.0138,0.0049,0.6807,0.1308,0.2547,0.2126
1.7523,0.0144,0.0047,0.0222,0.1383,0.032,0.0138,0.0081,0.6807,0.1301,0.495,0.213
1.7221,0.0149,0.0047,0.0221,0.1383,0.0318,0.0138,0.008,0.6807,0.1299,0.4642,0.2137
1.8216,0.0146,0.0047,0.0217,0.1383,0.1403,0.0138,0.0089,0.6807,0.1299,0.4557,0.213
2.3254,0.0144,0.0047,0.0218,0.1383,0.6509,0.0138,0.008,0.6807,0.129,0.4505,0.2133
2.3495,0.0138,0.0047,0.022,0.1383,0.6783,0.0138,0.0082,0.6807,0.129,0.4482,0.2125
2.4577,0.0142,0.0319,0.0219,0.0998,0.6602,0.1551,0.0083,0.6807,0.1285,0.4447,0.2124
4.4411,0.0143,0,0.0222,0.0249,0.5906,0.1074,0.0069,2.8907,0.1284,0.4429,0.2128
4.432,0.0143,0,0.022,0.0248,0.5689,0.1073,0.0079,2.9019,0.128,0.4437,0.2132
4.4556,0.0142,0,0.0217,0.0244,0.5707,0.1073,0.0088,2.926,0.1278,0.4421,0.2126
4.5058,0.0146,0,0.0221,0.0249,0.5772,0.107,0.0079,2.9728,0.1276,0.4391,0.2126
4.4743,0.0145,0,0.022,0.0248,0.5869,0.1106,0.0081,2.9247,0.1278,0.4425,0.2124
4.4489,0.0142,0,0.0222,0.0248,0.5777,0.1076,0.0089,2.9054,0.1286,0.4463,0.2132
4.4276,0.0144,0,0.022,0.0247,0.5721,0.107,0.0085,2.8933,0.1283,0.4445,0.2128
4.4369,0.0141,0,0.0221,0.0249,0.579,0.1072,0.0073,2.9006,0.1278,0.4414,0.2125
4.353,0.0143,0,0.0219,0.0248,0.5805,0.0236,0.0073,2.9034,0.1274,0.4376,0.2122
4.4488,0.0141,0,0.0218,0.0247,0.5851,0.1071,0.0072,2.9118,0.1273,0.4372,0.2125
4.47,0.0144,0,0.0216,0.0247,0.6225,0.1067,0.0067,2.8996,0.1272,0.4346,0.212
4.5024,0.0143,0,0.0217,0.0249,0.6435,0.107,0.0093,2.9096,0.1267,0.4334,0.212
0.8027,0.0025,0,0.0047,0.0051,0.134,0.0223,0.0005,0.5988,0.0088,0.0032,0.0228
